0: 202 ms ,1: 72.0, 2: 0.0, 3: 0.0, 4: 4518.974358974359, 5: 4127.179487179487, 6: 4389.2307692307695, 7: 4512.820512820514, 8: 4446.666666666667, 9: 4656.923076923077, 10: 4343.589743589744, 11: 4377.435897435898, 12: 4741.025641025642, 13: 4050.7692307692314, 14: 3953.8461538461543, 15: 4234.871794871796, 16: 4591.794871794872, 17: 4381.538461538462, 18: 1612.0, 19: 1712.0, 20: 0.218, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 5.0927898983E-313, 29: 3.546805844055293E-282, 30: 3.5468872340542385E-282, 31: 3.0641619221657E-311, 32: -1.951088816212707, 33: 3.546582557248042E-282, 34: -8.55694384743836E71, 35: -4.693948672918851E-145, 36: -8.556947251509935E71, 
0: 202 ms ,1: 73.0, 2: 0.0, 3: 0.0, 4: 4522.051282051282, 5: 4122.564102564103, 6: 4394.358974358975, 7: 4515.384615384616, 8: 4445.128205128206, 9: 4656.923076923077, 10: 4346.666666666667, 11: 4381.025641025642, 12: 4741.025641025642, 13: 4052.307692307693, 14: 3956.410256410257, 15: 4236.410256410257, 16: 4589.743589743591, 17: 4385.641025641026, 18: 1612.0, 19: 1713.0, 20: 0.218, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 3.543325196842382E-282, 28: -8.55694384743836E71, 29: 4.2895969793E-314, 30: 5.0973504256E-313, 31: -8.556947251509935E71, 32: 0.975544499928391, 33: 6.3659873907E-314, 34: -8.556947251509935E71, 35: -4.2525572009822243E71, 36: 3.546884651156694E-282, 
0: 202 ms ,1: 74.0, 2: 0.0, 3: 0.0, 4: 4519.48717948718, 5: 4131.794871794872, 6: 4390.769230769231, 7: 4511.794871794872, 8: 4443.589743589744, 9: 4657.435897435898, 10: 4342.564102564103, 11: 4380.000000000001, 12: 4739.48717948718, 13: 4052.820512820513, 14: 3954.358974358975, 15: 4231.282051282052, 16: 4594.358974358975, 17: 4387.6923076923085, 18: 1612.0, 19: 1712.0, 20: 0.234, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 2.121995803E-314, 28: -8.556947251509935E71, 29: -8.556943847436944E71, 30: 1.5E-323, 31: -8.556947251509935E71, 32: -8.556947251509935E71, 33: 8.43684306529883E-310, 34: 1.714763881E-314, 35: -4.252558376500915E71, 36: 6.3659873887E-314, 
0: 234 ms ,1: 75.0, 2: 0.0, 3: 0.0, 4: 4520.512820512821, 5: 4120.512820512821, 6: 4397.435897435898, 7: 4515.8974358974365, 8: 4445.641025641026, 9: 4658.461538461539, 10: 4344.615384615385, 11: 4381.025641025642, 12: 4740.512820512821, 13: 4051.7948717948725, 14: 3954.358974358975, 15: 4239.48717948718, 16: 4587.179487179488, 17: 4382.051282051282, 18: 1612.0, 19: 1712.0, 20: 0.234, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 8.43641866614063E-310, 29: 3.5695442771974055E-282, 30: -8.556947251509935E71, 31: 1.9643E-319, 32: 0.975544499928391, 33: -8.556947251509935E71, 34: 5.0927898983E-313, 35: -3.2333664311695455E-75, 36: -8.556947251509935E71, 
0: 234 ms ,1: 76.0, 2: 0.0, 3: 0.0, 4: 4517.435897435898, 5: 4127.179487179487, 6: 4388.205128205129, 7: 4514.358974358975, 8: 4443.589743589744, 9: 4655.384615384616, 10: 4344.102564102564, 11: 4379.48717948718, 12: 4741.025641025642, 13: 4052.820512820513, 14: 3953.333333333334, 15: 4234.871794871796, 16: 4590.769230769231, 17: 4384.102564102564, 18: 1612.0, 19: 1712.0, 20: 0.249, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 5.0927898983E-313, 29: 3.546805844055293E-282, 30: 3.5468872340542385E-282, 31: 3.0641619221657E-311, 32: -1.951088816212707, 33: 3.546582557248042E-282, 34: -8.55694384743836E71, 35: -4.693948672918851E-145, 36: -8.556947251509935E71, 
0: 234 ms ,1: 77.0, 2: 0.0, 3: 0.0, 4: 4523.589743589744, 5: 4116.410256410257, 6: 4395.8974358974365, 7: 4517.435897435898, 8: 4443.589743589744, 9: 4656.410256410257, 10: 4344.615384615385, 11: 4381.538461538462, 12: 4738.974358974359, 13: 4052.307692307693, 14: 3956.410256410257, 15: 4238.461538461539, 16: 4588.717948717949, 17: 4384.102564102564, 18: 1612.0, 19: 1713.0, 20: 0.249, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 3.543325196842382E-282, 28: -8.55694384743836E71, 29: 4.2895969793E-314, 30: 5.0973504256E-313, 31: -8.556947251509935E71, 32: 0.975544499928391, 33: 6.3659873907E-314, 34: -8.556947251509935E71, 35: -4.2525572009822243E71, 36: 3.546884651156694E-282, 
0: 234 ms ,1: 78.0, 2: 0.0, 3: 0.0, 4: 4518.461538461539, 5: 4126.666666666667, 6: 4389.2307692307695, 7: 4516.410256410257, 8: 4443.076923076924, 9: 4652.820512820514, 10: 4341.025641025642, 11: 4379.48717948718, 12: 4736.923076923077, 13: 4049.7435897435903, 14: 3955.8974358974365, 15: 4231.794871794872, 16: 4594.358974358975, 17: 4383.589743589744, 18: 1612.0, 19: 1712.0, 20: 0.265, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 2.121995803E-314, 28: -8.556947251509935E71, 29: -8.556943847436944E71, 30: 1.5E-323, 31: -8.556947251509935E71, 32: -8.556947251509935E71, 33: 8.43684306529883E-310, 34: 1.714763881E-314, 35: -4.252558376500915E71, 36: 6.3659873887E-314, 
0: 265 ms ,1: 79.0, 2: 0.0, 3: 0.0, 4: 4520.512820512821, 5: 4116.410256410257, 6: 4395.8974358974365, 7: 4515.8974358974365, 8: 4443.589743589744, 9: 4655.384615384616, 10: 4345.128205128206, 11: 4380.512820512821, 12: 4737.948717948719, 13: 4048.205128205129, 14: 3956.410256410257, 15: 4236.410256410257, 16: 4591.282051282052, 17: 4381.025641025642, 18: 1611.0, 19: 1713.0, 20: 0.265, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 8.43641866614063E-310, 29: 3.5695442771974055E-282, 30: -8.556947251509935E71, 31: 1.9643E-319, 32: 0.975544499928391, 33: -8.556947251509935E71, 34: 5.0927898983E-313, 35: -3.2333664311695455E-75, 36: -8.556947251509935E71, 
0: 265 ms ,1: 80.0, 2: 0.0, 3: 0.0, 4: 4517.948717948719, 5: 4124.615384615385, 6: 4391.794871794872, 7: 4512.307692307693, 8: 4444.615384615385, 9: 4657.435897435898, 10: 4342.564102564103, 11: 4378.974358974359, 12: 4737.948717948719, 13: 4050.2564102564106, 14: 3955.3846153846157, 15: 4232.820512820514, 16: 4594.358974358975, 17: 4383.589743589744, 18: 1613.0, 19: 1712.0, 20: 0.28, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: -8.556947251509935E71, 28: 5.0927898983E-313, 29: 3.546805844055293E-282, 30: 3.5468872340542385E-282, 31: 3.0641619221657E-311, 32: -1.951088816212707, 33: 3.546582557248042E-282, 34: -8.55694384743836E71, 35: -4.693948672918851E-145, 36: -8.556947251509935E71, 
0: 265 ms ,1: 81.0, 2: 0.0, 3: 0.0, 4: 4521.025641025642, 5: 4118.974358974359, 6: 4396.410256410257, 7: 4515.384615384616, 8: 4449.2307692307695, 9: 4657.435897435898, 10: 4342.564102564103, 11: 4379.48717948718, 12: 4738.461538461539, 13: 4053.333333333334, 14: 3957.9487179487182, 15: 4235.384615384616, 16: 4588.205128205129, 17: 4383.589743589744, 18: 1611.0, 19: 1712.0, 20: 0.28, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 3.543325196842382E-282, 28: -8.55694384743836E71, 29: 4.2895969793E-314, 30: 5.0973504256E-313, 31: -8.556947251509935E71, 32: 0.975544499928391, 33: 6.3659873907E-314, 34: -8.556947251509935E71, 35: -4.2525572009822243E71, 36: 3.546884651156694E-282, 
0: 265 ms ,1: 82.0, 2: 0.0, 3: 0.0, 4: 4515.8974358974365, 5: 4127.179487179487, 6: 4391.794871794872, 7: 4513.333333333334, 8: 4445.128205128206, 9: 4653.846153846154, 10: 4343.076923076924, 11: 4379.48717948718, 12: 4738.974358974359, 13: 4054.8717948717954, 14: 3956.410256410257, 15: 4234.358974358975, 16: 4591.282051282052, 17: 4385.128205128206, 18: 1612.0, 19: 1713.0, 20: 0.296, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -4.252558376500915E71, 27: 2.121995803E-314, 28: -8.556947251509935E71, 29: -8.556943847436944E71, 30: 1.5E-323, 31: -8.556947251509935E71, 32: -8.556947251509935E71, 33: 8.43684306529883E-310, 34: 1.714763881E-314, 35: -4.252558376500915E71, 36: 6.3659873887E-314, 
